Effect,Subject,Estimate,StdErrPred,DF,tValue,Probt
Intercept,id 302442,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 302453,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 302475,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 302510,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 302576,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 302587,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 302598,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 302600,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 302611,-0.3028,1.2832,5396,-0.24,0.8135
Intercept,id 302622,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 302633,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 302644,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 302688,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 302699,1.7506,0.6190,5396,2.83,0.0047
Intercept,id 302701,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 302712,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 302723,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 302734,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 302767,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 302846,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 302879,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 302969,-0.1730,1.3522,5396,-0.13,0.8982
Intercept,id 302991,2.7912,0.3589,5396,7.78,<.0001
Intercept,id 303028,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 303050,-0.3203,1.2746,5396,-0.25,0.8016
Intercept,id 303061,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 303094,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 303118,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 303129,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 303162,1.7506,0.6190,5396,2.83,0.0047
Intercept,id 303173,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 303184,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 303230,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 303263,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 303274,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 303296,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 303320,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 303331,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 303353,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 303364,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 303375,-0.3203,1.2746,5396,-0.25,0.8016
Intercept,id 303443,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 303454,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 303476,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 303566,2.3750,0.4042,5396,5.88,<.0001
Intercept,id 303588,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 303599,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 303601,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 303645,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 303656,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 303667,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 303689,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 303724,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 303779,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 303814,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 303836,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 303926,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 303937,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 303948,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 303970,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 303992,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 304007,4.4499,0.1643,5396,27.09,<.0001
Intercept,id 304018,-0.1804,1.3480,5396,-0.13,0.8935
Intercept,id 304029,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 304040,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 304062,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 304095,4.6977,0.1586,5396,29.62,<.0001
Intercept,id 304152,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 304220,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 304343,2.8662,0.3824,5396,7.49,<.0001
Intercept,id 304354,0.9750,0.9963,5396,0.98,0.3278
Intercept,id 304398,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 304411,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 304433,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 304512,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 304523,1.3288,1.0897,5396,1.22,0.2227
Intercept,id 304534,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 304567,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 304635,2.9978,0.3407,5396,8.80,<.0001
Intercept,id 304646,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 304657,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 304736,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 304780,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 304815,2.6508,0.3572,5396,7.42,<.0001
Intercept,id 304881,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 304905,1.8879,0.5339,5396,3.54,0.0004
Intercept,id 304949,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 304982,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 305030,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 305120,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 305131,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 305142,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 305186,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 305265,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 305276,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 305535,1.6484,0.6134,5396,2.69,0.0072
Intercept,id 305546,1.7506,0.6190,5396,2.83,0.0047
Intercept,id 305568,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 305579,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 305614,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 305625,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 305636,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 305669,2.5218,0.3785,5396,6.66,<.0001
Intercept,id 305737,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 305759,2.3335,0.4842,5396,4.82,<.0001
Intercept,id 305792,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 305816,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 305827,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 305838,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 305893,2.4284,0.4397,5396,5.52,<.0001
Intercept,id 305906,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 305928,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 305972,3.3660,0.2885,5396,11.67,<.0001
Intercept,id 305983,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 306009,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 306020,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 306086,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 306097,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 306121,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 306143,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 306200,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 306211,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 306323,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 306345,3.4852,0.2894,5396,12.04,<.0001
Intercept,id 306356,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 306367,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 306378,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 306389,1.5119,0.7572,5396,2.00,0.0459
Intercept,id 306413,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 306490,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 306738,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 306760,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 306839,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 306883,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 306894,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 306929,2.2466,0.8448,5396,2.66,0.0079
Intercept,id 306962,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 307122,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 307177,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 307188,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 307346,-0.1804,1.3480,5396,-0.13,0.8935
Intercept,id 307425,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 307537,1.9027,0.6274,5396,3.03,0.0024
Intercept,id 307616,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 307627,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 307638,2.2229,0.4812,5396,4.62,<.0001
Intercept,id 307660,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 307671,-0.3203,1.2746,5396,-0.25,0.8016
Intercept,id 307682,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 307693,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 307706,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 307717,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 307728,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 307750,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 307794,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 307807,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 307829,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 307840,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 307851,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 307862,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 307873,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 307884,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 307895,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 307908,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 307919,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 307930,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 307941,1.3507,1.0964,5396,1.23,0.2180
Intercept,id 307952,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 307963,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 307974,2.8662,0.3824,5396,7.49,<.0001
Intercept,id 308000,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 308011,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 308022,2.8662,0.3824,5396,7.49,<.0001
Intercept,id 308033,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 308044,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 308055,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 308066,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 308077,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 308088,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 308099,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 308202,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 308235,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 308279,2.7505,0.3808,5396,7.22,<.0001
Intercept,id 308290,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 308303,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 308325,2.5412,0.4420,5396,5.75,<.0001
Intercept,id 308369,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 308380,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 400092,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 400105,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400116,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 400127,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400138,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 400160,-0.1804,1.3480,5396,-0.13,0.8935
Intercept,id 400171,2.0039,0.4761,5396,4.21,<.0001
Intercept,id 400182,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 400193,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 400206,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400217,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400228,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 400250,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 400261,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 400272,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 400283,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400294,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 400307,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400318,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 400329,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 400340,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400351,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 400362,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 400373,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 400384,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400395,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 400408,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 400430,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 400441,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 400452,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 400474,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 400698,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 400700,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400711,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 400722,-0.3028,1.2832,5396,-0.24,0.8135
Intercept,id 400755,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 400788,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 400812,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 400823,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 400845,-0.1730,1.3522,5396,-0.13,0.8982
Intercept,id 400867,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 400968,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 401005,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 401071,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401082,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 401093,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 401128,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 401139,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 401150,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401161,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 401207,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401251,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401319,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 401341,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401374,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401409,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401475,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 401521,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 401543,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401565,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 401587,-0.1730,1.3522,5396,-0.13,0.8982
Intercept,id 401598,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401600,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 401611,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401622,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 401677,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 401699,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401723,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401802,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401824,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 401868,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401879,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 401969,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 402017,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 402072,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 402140,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 402151,-0.1804,1.3480,5396,-0.13,0.8935
Intercept,id 402184,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 402208,0.6250,0.9244,5396,0.68,0.4990
Intercept,id 402219,3.1064,0.3115,5396,9.97,<.0001
Intercept,id 402252,-0.3028,1.2832,5396,-0.24,0.8135
Intercept,id 402274,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 402296,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 402309,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 402320,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 402375,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 402476,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 402511,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 402522,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 402544,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 402555,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 402566,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 402588,2.0039,0.4761,5396,4.21,<.0001
Intercept,id 402623,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 402656,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 402678,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 402689,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 402768,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 402803,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 402858,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 402880,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 402915,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 402926,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 402937,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 402948,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 403007,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403018,2.3411,0.4386,5396,5.34,<.0001
Intercept,id 403029,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403040,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 403051,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403062,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403073,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403095,2.1373,0.4796,5396,4.46,<.0001
Intercept,id 403119,-0.3203,1.2746,5396,-0.25,0.8016
Intercept,id 403130,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 403141,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403152,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403163,1.7501,0.7825,5396,2.24,0.0254
Intercept,id 403174,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403185,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403196,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403209,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403220,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403231,2.0039,0.4761,5396,4.21,<.0001
Intercept,id 403242,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 403253,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403264,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 403275,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403297,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403310,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403321,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403332,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403343,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403354,2.5218,0.3785,5396,6.66,<.0001
Intercept,id 403365,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 403376,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403398,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 403400,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403411,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 403422,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403433,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403545,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403556,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 403578,2.0039,0.4761,5396,4.21,<.0001
Intercept,id 403589,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403602,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 403613,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 403747,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404131,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 404423,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 404434,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 404445,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 404456,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 404467,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404524,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 404535,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404546,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404557,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 404568,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404579,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 404590,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404603,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 404614,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404625,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 404636,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 404647,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 404658,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 404669,-0.1730,1.3522,5396,-0.13,0.8982
Intercept,id 404680,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404691,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 404939,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404950,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 404961,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 404972,-0.1730,1.3522,5396,-0.13,0.8982
Intercept,id 404983,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 404994,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 405009,2.0039,0.4761,5396,4.21,<.0001
Intercept,id 405020,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 405031,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 405042,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 405053,2.0039,0.4761,5396,4.21,<.0001
Intercept,id 405064,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 405075,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 405086,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 405097,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 405110,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 405121,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 405402,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 405424,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 405446,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 405457,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 405479,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 405503,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 405525,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 405547,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 405580,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 405591,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 405604,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 405626,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 405637,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 405681,1.3012,0.7368,5396,1.77,0.0775
Intercept,id 405692,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 405727,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 405771,-0.1730,1.3522,5396,-0.13,0.8982
Intercept,id 405817,3.0504,0.2985,5396,10.22,<.0001
Intercept,id 405872,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 405973,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 405984,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 406010,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 406087,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 406098,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 406111,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 406144,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 406234,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 406245,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 406256,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 406324,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 406346,2.3750,0.4042,5396,5.88,<.0001
Intercept,id 406357,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 406390,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 406403,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 406414,2.9639,0.3103,5396,9.55,<.0001
Intercept,id 406425,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 406436,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 406458,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 406469,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 406491,-0.5377,1.1813,5396,-0.46,0.6490
Intercept,id 406537,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 406559,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 406570,-0.4368,1.2220,5396,-0.36,0.7208
Intercept,id 406605,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 406638,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 406649,-0.6276,1.1483,5396,-0.55,0.5847
